site,roll,filename,exif-datetime,filedatetime
33A,R1,NIA_S1_33A_R1_IMAG0002.JPG,2016:10:17 08:03:49,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0003.JPG,2016:10:17 08:04:05,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0004.JPG,2016:10:17 16:24:16,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0005.JPG,2016:10:19 05:38:31,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0006.JPG,2016:10:21 04:03:24,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0007.JPG,2016:10:21 04:03:39,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0008.JPG,2016:10:22 03:17:19,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0009.JPG,2016:10:22 03:17:42,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0010.JPG,2016:10:22 18:19:37,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0011.JPG,2016:10:24 01:43:41,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0012.JPG,2016:10:24 04:04:27,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0013.JPG,2016:10:24 04:04:42,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0014.JPG,2016:10:24 04:05:05,2017:08:31 18:53:03
33A,R1,NIA_S1_33A_R1_IMAG0015.JPG,2016:10:25 04:55:24,2017:08:31 18:53:03
33A,R1,NIA_S1_33A_R1_IMAG0016.JPG,2016:10:25 04:55:39,2017:08:31 18:53:03
33A,R1,NIA_S1_33A_R1_IMAG0017.JPG,2016:10:25 04:59:02,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0018.JPG,2016:10:25 17:17:04,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0019.JPG,2016:10:25 17:29:12,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0020.JPG,2016:10:25 17:29:36,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0021.JPG,2016:10:25 17:32:13,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0022.JPG,2016:10:25 17:32:32,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0023.JPG,2016:10:25 17:38:09,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0024.JPG,2016:10:26 22:30:35,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0025.JPG,2016:10:27 23:03:46,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0026.JPG,2016:10:31 00:49:21,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0027.JPG,2016:10:31 00:49:44,2017:08:31 18:53:04
33A,R1,NIA_S1_33A_R1_IMAG0028.JPG,2016:10:31 00:50:23,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0029.JPG,2016:11:02 04:11:39,2017:08:31 18:53:02
33A,R1,NIA_S1_33A_R1_IMAG0030.JPG,2016:11:02 04:12:28,2017:08:31 18:53:02
36A,R1,NIA_S1_36A_R1_IMAG0001.JPG,2015:09:01 06:06:49,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0002.JPG,2015:09:01 06:07:12,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0003.JPG,2015:09:01 06:15:24,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0004.JPG,2015:09:01 06:15:48,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0005.JPG,2015:09:01 07:27:31,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0006.JPG,2015:09:01 21:05:04,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0007.JPG,2015:09:01 21:24:05,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0008.JPG,2015:09:01 21:27:57,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0009.JPG,2015:09:01 21:28:44,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0010.JPG,2015:09:01 21:29:02,2017:08:31 18:53:05
36A,R1,NIA_S1_36A_R1_IMAG0011.JPG,2015:09:01 21:44:07,2017:08:31 18:53:06
36A,R1,NIA_S1_36A_R1_IMAG0012.JPG,2015:09:01 22:13:55,2017:08:31 18:53:06
36A,R1,NIA_S1_36A_R1_IMAG0013.JPG,2015:09:01 22:14:35,2017:08:31 18:53:06
36A,R1,NIA_S1_36A_R1_IMAG0014.JPG,2015:09:01 22:34:02,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0015.JPG,2015:09:01 22:34:27,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0016.JPG,2015:09:01 22:34:43,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0017.JPG,2015:09:01 22:35:12,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0018.JPG,2015:09:01 23:33:53,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0019.JPG,2015:09:01 23:34:44,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0020.JPG,2015:09:01 23:35:40,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0021.JPG,2015:09:02 01:13:55,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0022.JPG,2015:09:02 01:28:55,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0023.JPG,2015:09:02 02:00:26,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0024.JPG,2015:09:02 03:05:21,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0025.JPG,2015:09:02 03:05:36,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0026.JPG,2015:09:02 03:06:23,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0027.JPG,2015:09:02 04:47:06,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0028.JPG,2015:09:02 04:47:23,2017:08:31 18:53:07
36A,R1,NIA_S1_36A_R1_IMAG0029.JPG,2015:09:03 04:05:20,2017:08:31 18:53:05
37A,R1,NIA_S1_37A_R1_IMAG0001.JPG,2016:10:05 08:43:09,2017:08:31 18:53:32
