site,roll,filename,exif-datetime,filedatetime
22A,R1,NIA_S1_22A_R1_IMAG0108.JPG,2016:11:10 11:07:01,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0109.JPG,2016:11:10 11:07:55,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0110.JPG,2016:11:10 11:09:53,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0111.JPG,2016:11:10 11:16:07,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0112.JPG,2016:11:10 11:18:05,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0113.JPG,2016:11:10 11:19:51,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0114.JPG,2016:11:10 11:21:04,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0115.JPG,2016:11:10 11:21:21,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0116.JPG,2016:11:10 11:22:32,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0117.JPG,2016:11:10 11:24:18,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0118.JPG,2016:11:10 11:47:19,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0119.JPG,2016:11:10 11:48:01,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0120.JPG,2016:11:10 12:24:06,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0121.JPG,2016:11:10 12:25:05,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0122.JPG,2016:11:10 12:28:48,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0123.JPG,2016:11:10 12:31:15,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0124.JPG,2016:11:10 13:22:24,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0125.JPG,2016:11:10 13:52:21,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0126.JPG,2016:11:11 08:42:23,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0127.JPG,2016:11:11 08:42:54,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0128.JPG,2016:11:11 09:05:09,2017:08:31 17:46:28
